value_a,value_b,layer,cosine
autonomy,tradition,6,0.674365
autonomy,tradition,7,0.627286
autonomy,tradition,8,0.551647
autonomy,tradition,9,0.484445
autonomy,tradition,10,0.43188
autonomy,tradition,11,0.436517
autonomy,tradition,12,0.431822
autonomy,tradition,13,0.424374
autonomy,tradition,14,0.544594
autonomy,tradition,15,0.584156
autonomy,tradition,16,0.591974
autonomy,tradition,17,0.617817
autonomy,tradition,18,0.652092
autonomy,tradition,19,0.658615
autonomy,tradition,20,0.684481
autonomy,tradition,21,0.6928
autonomy,tradition,22,0.68796
autonomy,tradition,23,0.680549
autonomy,tradition,24,0.680338
autonomy,tradition,25,0.674911
autonomy,tradition,26,0.682549
autonomy,tradition,27,0.669203
autonomy,tradition,28,0.66243
autonomy,tradition,29,0.66713
autonomy,tradition,30,0.642117
autonomy,tradition,31,0.637163
care,collective_welfare,0,0.921934
care,collective_welfare,1,0.894317
care,collective_welfare,2,0.855959
care,collective_welfare,3,0.814025
care,collective_welfare,4,0.645557
care,collective_welfare,5,0.641095
care,collective_welfare,6,0.635561
care,collective_welfare,7,0.636953
care,collective_welfare,8,0.559029
care,collective_welfare,9,0.534003
care,collective_welfare,10,0.440979
care,collective_welfare,11,0.448316
care,collective_welfare,12,0.465019
care,collective_welfare,13,0.447097
care,collective_welfare,14,0.352444
care,collective_welfare,15,0.36279
care,collective_welfare,16,0.381374
care,collective_welfare,17,0.370206
care,collective_welfare,18,0.378866
care,collective_welfare,19,0.403022
care,collective_welfare,20,0.403663
care,collective_welfare,21,0.419558
care,collective_welfare,22,0.422284
care,collective_welfare,23,0.43803
care,collective_welfare,24,0.435537
care,collective_welfare,25,0.44336
care,collective_welfare,26,0.449726
care,collective_welfare,27,0.442162
care,collective_welfare,28,0.451724
care,collective_welfare,29,0.445817
care,collective_welfare,30,0.432183
care,collective_welfare,31,0.430742
care,desert,0,0.925072
care,desert,1,0.902302
care,desert,2,0.882184
care,desert,3,0.819354
care,desert,4,0.711869
care,desert,5,0.703654
care,desert,6,0.685598
care,desert,7,0.676838
care,desert,8,0.610325
care,desert,9,0.56786
care,desert,10,0.501214
care,desert,11,0.468629
care,desert,12,0.345721
care,desert,13,0.363045
care,desert,14,0.25656
care,desert,15,0.329638
care,desert,16,0.338763
care,desert,17,0.326717
care,desert,18,0.337993
care,desert,19,0.356354
care,desert,20,0.361043
care,desert,21,0.347996
care,desert,22,0.33363
care,desert,23,0.358568
care,desert,24,0.357129
care,desert,25,0.364439
care,desert,26,0.364586
care,desert,27,0.364193
care,desert,28,0.354809
care,desert,29,0.345738
care,desert,30,0.378003
care,desert,31,0.408511
care,fairness,0,0.955858
care,fairness,1,0.934681
care,fairness,2,0.920467
care,fairness,3,0.893822
care,fairness,4,0.820776
care,fairness,5,0.824504
care,fairness,6,0.809852
care,fairness,7,0.782958
care,fairness,8,0.709446
care,fairness,9,0.701686
care,fairness,10,0.666594
care,fairness,11,0.656743
care,fairness,12,0.481
care,fairness,13,0.505808
care,fairness,14,0.373821
care,fairness,15,0.483313
care,fairness,16,0.490301
care,fairness,17,0.498344
care,fairness,18,0.500538
care,fairness,19,0.520419
care,fairness,20,0.533785
care,fairness,21,0.536096
care,fairness,22,0.520448
care,fairness,23,0.531075
care,fairness,24,0.542803
care,fairness,25,0.532997
care,fairness,26,0.530679
care,fairness,27,0.531022
care,fairness,28,0.525576
care,fairness,29,0.51949
care,fairness,30,0.503754
care,fairness,31,0.486087
care,harm_avoidance,0,0.950896
care,harm_avoidance,1,0.942773
care,harm_avoidance,2,0.931679
care,harm_avoidance,3,0.897402
care,harm_avoidance,4,0.800717
care,harm_avoidance,5,0.800395
care,harm_avoidance,6,0.804555
care,harm_avoidance,7,0.781607
care,harm_avoidance,8,0.743275
care,harm_avoidance,9,0.745601
care,harm_avoidance,10,0.700226
care,harm_avoidance,11,0.681189
care,harm_avoidance,12,0.673988
care,harm_avoidance,13,0.713588
care,harm_avoidance,14,0.552766
care,harm_avoidance,15,0.630624
care,harm_avoidance,16,0.652015
care,harm_avoidance,17,0.593767
care,harm_avoidance,18,0.584164
care,harm_avoidance,19,0.599089
care,harm_avoidance,20,0.590599
care,harm_avoidance,21,0.5847
care,harm_avoidance,22,0.555818
care,harm_avoidance,23,0.582103
care,harm_avoidance,24,0.570781
care,harm_avoidance,25,0.574456
care,harm_avoidance,26,0.558693
care,harm_avoidance,27,0.533633
care,harm_avoidance,28,0.527161
care,harm_avoidance,29,0.491992
care,harm_avoidance,30,0.514959
care,harm_avoidance,31,0.55843
care,honesty,0,0.934214
care,honesty,1,0.907006
care,honesty,2,0.880766
care,honesty,3,0.819631
care,honesty,4,0.719594
care,honesty,5,0.745661
care,honesty,6,0.737888
care,honesty,7,0.706654
care,honesty,8,0.668881
care,honesty,9,0.558969
care,honesty,10,0.498752
care,honesty,11,0.477557
care,honesty,12,0.438493
care,honesty,13,0.495662
care,honesty,14,0.391974
care,honesty,15,0.474968
care,honesty,16,0.532034
care,honesty,17,0.50242
care,honesty,18,0.521232
care,honesty,19,0.550037
care,honesty,20,0.566301
care,honesty,21,0.570336
care,honesty,22,0.55387
care,honesty,23,0.562931
care,honesty,24,0.568056
care,honesty,25,0.563739
care,honesty,26,0.560518
care,honesty,27,0.545159
care,honesty,28,0.523161
care,honesty,29,0.497594
care,honesty,30,0.504801
care,honesty,31,0.53635
care,impartiality,0,0.90232
care,impartiality,1,0.877298
care,impartiality,2,0.855992
care,impartiality,3,0.80804
care,impartiality,4,0.676579
care,impartiality,5,0.655161
care,impartiality,6,0.610188
care,impartiality,7,0.562645
care,impartiality,8,0.533391
care,impartiality,9,0.468833
care,impartiality,10,0.459409
care,impartiality,11,0.468755
care,impartiality,12,0.496227
care,impartiality,13,0.507752
care,impartiality,14,0.465657
care,impartiality,15,0.523476
care,impartiality,16,0.546052
care,impartiality,17,0.483147
care,impartiality,18,0.454765
care,impartiality,19,0.467202
care,impartiality,20,0.438883
care,impartiality,21,0.45995
care,impartiality,22,0.434302
care,impartiality,23,0.451594
care,impartiality,24,0.435013
care,impartiality,25,0.431218
care,impartiality,26,0.418678
care,impartiality,27,0.385991
care,impartiality,28,0.359196
care,impartiality,29,0.302748
care,impartiality,30,0.342532
care,impartiality,31,0.361552
care,integrity,0,0.889727
care,integrity,1,0.827444
care,integrity,2,0.800119
care,integrity,3,0.724831
care,integrity,4,0.6542
care,integrity,5,0.646754
care,integrity,6,0.644273
care,integrity,7,0.647679
care,integrity,8,0.587446
care,integrity,9,0.551357
care,integrity,10,0.545791
care,integrity,11,0.553052
care,integrity,12,0.469715
care,integrity,13,0.498104
care,integrity,14,0.449389
care,integrity,15,0.451755
care,integrity,16,0.528348
care,integrity,17,0.537306
care,integrity,18,0.557959
care,integrity,19,0.578419
care,integrity,20,0.568705
care,integrity,21,0.573017
care,integrity,22,0.556106
care,integrity,23,0.536801
care,integrity,24,0.531774
care,integrity,25,0.52429
care,integrity,26,0.51155
care,integrity,27,0.50789
care,integrity,28,0.481989
care,integrity,29,0.465868
care,integrity,30,0.475478
care,integrity,31,0.473977
care,kindness,0,0.959947
care,kindness,1,0.955196
care,kindness,2,0.929689
care,kindness,3,0.889306
care,kindness,4,0.80665
care,kindness,5,0.803783
care,kindness,6,0.769081
care,kindness,7,0.77698
care,kindness,8,0.762598
care,kindness,9,0.742809
care,kindness,10,0.733514
care,kindness,11,0.747004
care,kindness,12,0.636775
care,kindness,13,0.688785
care,kindness,14,0.600083
care,kindness,15,0.624888
care,kindness,16,0.646069
care,kindness,17,0.622896
care,kindness,18,0.636089
care,kindness,19,0.641114
care,kindness,20,0.62887
care,kindness,21,0.611428
care,kindness,22,0.596993
care,kindness,23,0.59687
care,kindness,24,0.59098
care,kindness,25,0.590623
care,kindness,26,0.577359
care,kindness,27,0.564343
care,kindness,28,0.545109
care,kindness,29,0.510324
care,kindness,30,0.53682
care,kindness,31,0.536504
care,loyalty,0,0.944177
care,loyalty,1,0.929484
care,loyalty,2,0.910306
care,loyalty,3,0.836703
care,loyalty,4,0.716394
care,loyalty,5,0.724277
care,loyalty,6,0.714602
care,loyalty,7,0.681258
care,loyalty,8,0.61033
care,loyalty,9,0.602124
care,loyalty,10,0.542578
care,loyalty,11,0.489329
care,loyalty,12,0.291893
care,loyalty,13,0.185038
care,loyalty,14,0.167737
care,loyalty,15,0.212556
care,loyalty,16,0.198156
care,loyalty,17,0.144114
care,loyalty,18,0.156297
care,loyalty,19,0.193727
care,loyalty,20,0.170906
care,loyalty,21,0.160581
care,loyalty,22,0.154947
care,loyalty,23,0.173829
care,loyalty,24,0.170512
care,loyalty,25,0.191482
care,loyalty,26,0.167359
care,loyalty,27,0.162612
care,loyalty,28,0.162829
care,loyalty,29,0.114845
care,loyalty,30,0.141604
care,loyalty,31,0.14934
care,mercy,0,0.928178
care,mercy,1,0.869318
care,mercy,2,0.818271
care,mercy,3,0.662919
care,mercy,4,0.496027
care,mercy,5,0.582129
care,mercy,6,0.562023
care,mercy,7,0.496642
care,mercy,8,0.484109
care,mercy,9,0.507702
care,mercy,10,0.510254
care,mercy,11,0.529942
care,mercy,12,0.500724
care,mercy,13,0.386321
care,mercy,14,0.23003
care,mercy,15,0.299908
care,mercy,16,0.313507
care,mercy,17,0.276867
care,mercy,18,0.24883
care,mercy,19,0.258761
care,mercy,20,0.242744
care,mercy,21,0.25244
care,mercy,22,0.212188
care,mercy,23,0.252795
care,mercy,24,0.240962
care,mercy,25,0.249639
care,mercy,26,0.230323
care,mercy,27,0.197969
care,mercy,28,0.177245
care,mercy,29,0.105517
care,mercy,30,0.164842
care,mercy,31,0.246453
care,privacy,0,0.941495
care,privacy,1,0.922103
care,privacy,2,0.887813
care,privacy,3,0.850193
care,privacy,4,0.722544
care,privacy,5,0.693636
care,privacy,6,0.688528
care,privacy,7,0.679835
care,privacy,8,0.650131
care,privacy,9,0.634941
care,privacy,10,0.625258
care,privacy,11,0.667924
care,privacy,12,0.681794
care,privacy,13,0.706716
care,privacy,14,0.474237
care,privacy,15,0.603154
care,privacy,16,0.611194
care,privacy,17,0.518995
care,privacy,18,0.524015
care,privacy,19,0.535866
care,privacy,20,0.533802
care,privacy,21,0.535999
care,privacy,22,0.496656
care,privacy,23,0.525865
care,privacy,24,0.508153
care,privacy,25,0.514847
care,privacy,26,0.502983
care,privacy,27,0.460416
care,privacy,28,0.425597
care,privacy,29,0.352229
care,privacy,30,0.415235
care,privacy,31,0.501499
care,sanctity,0,0.893814
care,sanctity,1,0.876703
care,sanctity,2,0.832028
care,sanctity,3,0.79419
care,sanctity,4,0.653749
care,sanctity,5,0.678535
care,sanctity,6,0.639255
care,sanctity,7,0.631724
care,sanctity,8,0.577867
care,sanctity,9,0.518503
care,sanctity,10,0.488635
care,sanctity,11,0.511078
care,sanctity,12,0.537018
care,sanctity,13,0.541082
care,sanctity,14,0.463964
care,sanctity,15,0.584673
care,sanctity,16,0.625504
care,sanctity,17,0.58312
care,sanctity,18,0.608122
care,sanctity,19,0.615531
care,sanctity,20,0.610018
care,sanctity,21,0.603305
care,sanctity,22,0.573703
care,sanctity,23,0.585274
care,sanctity,24,0.582371
care,sanctity,25,0.576517
care,sanctity,26,0.570563
care,sanctity,27,0.554556
care,sanctity,28,0.531799
care,sanctity,29,0.493097
care,sanctity,30,0.509513
care,sanctity,31,0.560037
care,tradition,0,0.940954
care,tradition,1,0.915999
care,tradition,2,0.888958
care,tradition,3,0.859051
care,tradition,4,0.753449
care,tradition,5,0.758002
care,tradition,6,0.74794
care,tradition,7,0.732477
care,tradition,8,0.662101
care,tradition,9,0.645462
care,tradition,10,0.568341
care,tradition,11,0.579967
care,tradition,12,0.444103
care,tradition,13,0.393623
care,tradition,14,0.251278
care,tradition,15,0.280906
care,tradition,16,0.301401
care,tradition,17,0.271083
care,tradition,18,0.307816
care,tradition,19,0.306911
care,tradition,20,0.288265
care,tradition,21,0.28926
care,tradition,22,0.302952
care,tradition,23,0.302162
care,tradition,24,0.290678
care,tradition,25,0.300726
care,tradition,26,0.309168
care,tradition,27,0.308053
care,tradition,28,0.318084
care,tradition,29,0.306791
care,tradition,30,0.311364
care,tradition,31,0.276298
collective_welfare,desert,0,0.940506
collective_welfare,desert,1,0.932876
collective_welfare,desert,2,0.921329
collective_welfare,desert,3,0.896171
collective_welfare,desert,4,0.81884
collective_welfare,desert,5,0.823168
collective_welfare,desert,6,0.810515
collective_welfare,desert,7,0.802679
collective_welfare,desert,8,0.782094
collective_welfare,desert,9,0.730644
collective_welfare,desert,10,0.675693
collective_welfare,desert,11,0.62813
collective_welfare,desert,12,0.56058
collective_welfare,desert,13,0.556598
collective_welfare,desert,14,0.50495
collective_welfare,desert,15,0.530397
collective_welfare,desert,16,0.558599
collective_welfare,desert,17,0.570496
collective_welfare,desert,18,0.604245
collective_welfare,desert,19,0.574006
collective_welfare,desert,20,0.578121
collective_welfare,desert,21,0.595558
collective_welfare,desert,22,0.590665
collective_welfare,desert,23,0.58232
collective_welfare,desert,24,0.555136
collective_welfare,desert,25,0.559179
collective_welfare,desert,26,0.55259
collective_welfare,desert,27,0.537998
collective_welfare,desert,28,0.504554
collective_welfare,desert,29,0.470103
collective_welfare,desert,30,0.465467
collective_welfare,desert,31,0.480255
collective_welfare,fairness,0,0.940653
collective_welfare,fairness,1,0.913482
collective_welfare,fairness,2,0.889329
collective_welfare,fairness,3,0.842964
collective_welfare,fairness,4,0.742762
collective_welfare,fairness,5,0.738123
collective_welfare,fairness,6,0.733829
collective_welfare,fairness,7,0.743834
collective_welfare,fairness,8,0.720779
collective_welfare,fairness,9,0.698263
collective_welfare,fairness,10,0.671872
collective_welfare,fairness,11,0.685679
collective_welfare,fairness,12,0.625477
collective_welfare,fairness,13,0.593714
collective_welfare,fairness,14,0.44512
collective_welfare,fairness,15,0.545555
collective_welfare,fairness,16,0.573296
collective_welfare,fairness,17,0.521493
collective_welfare,fairness,18,0.552197
collective_welfare,fairness,19,0.55781
collective_welfare,fairness,20,0.554225
collective_welfare,fairness,21,0.572893
collective_welfare,fairness,22,0.565233
collective_welfare,fairness,23,0.553994
collective_welfare,fairness,24,0.547899
collective_welfare,fairness,25,0.544739
collective_welfare,fairness,26,0.545771
collective_welfare,fairness,27,0.514558
collective_welfare,fairness,28,0.522081
collective_welfare,fairness,29,0.5029
collective_welfare,fairness,30,0.473691
collective_welfare,fairness,31,0.446613
collective_welfare,harm_avoidance,0,0.922251
collective_welfare,harm_avoidance,1,0.897739
collective_welfare,harm_avoidance,2,0.894043
collective_welfare,harm_avoidance,3,0.863299
collective_welfare,harm_avoidance,4,0.81264
collective_welfare,harm_avoidance,5,0.809119
collective_welfare,harm_avoidance,6,0.782117
collective_welfare,harm_avoidance,7,0.772217
collective_welfare,harm_avoidance,8,0.758831
collective_welfare,harm_avoidance,9,0.728403
collective_welfare,harm_avoidance,10,0.683356
collective_welfare,harm_avoidance,11,0.686322
collective_welfare,harm_avoidance,12,0.612133
collective_welfare,harm_avoidance,13,0.543247
collective_welfare,harm_avoidance,14,0.372321
collective_welfare,harm_avoidance,15,0.453168
collective_welfare,harm_avoidance,16,0.511074
collective_welfare,harm_avoidance,17,0.494296
collective_welfare,harm_avoidance,18,0.515777
collective_welfare,harm_avoidance,19,0.548999
collective_welfare,harm_avoidance,20,0.568022
collective_welfare,harm_avoidance,21,0.577821
collective_welfare,harm_avoidance,22,0.572666
collective_welfare,harm_avoidance,23,0.560655
collective_welfare,harm_avoidance,24,0.537531
collective_welfare,harm_avoidance,25,0.538902
collective_welfare,harm_avoidance,26,0.506666
collective_welfare,harm_avoidance,27,0.464788
collective_welfare,harm_avoidance,28,0.450077
collective_welfare,harm_avoidance,29,0.393284
collective_welfare,harm_avoidance,30,0.398177
collective_welfare,harm_avoidance,31,0.415921
collective_welfare,honesty,0,0.929561
collective_welfare,honesty,1,0.894396
collective_welfare,honesty,2,0.865325
collective_welfare,honesty,3,0.792781
collective_welfare,honesty,4,0.655069
collective_welfare,honesty,5,0.682102
collective_welfare,honesty,6,0.656789
collective_welfare,honesty,7,0.656561
collective_welfare,honesty,8,0.612833
collective_welfare,honesty,9,0.574071
collective_welfare,honesty,10,0.57034
collective_welfare,honesty,11,0.572115
collective_welfare,honesty,12,0.535946
collective_welfare,honesty,13,0.526478
collective_welfare,honesty,14,0.397208
collective_welfare,honesty,15,0.46705
collective_welfare,honesty,16,0.491891
collective_welfare,honesty,17,0.489834
collective_welfare,honesty,18,0.514298
collective_welfare,honesty,19,0.543998
collective_welfare,honesty,20,0.548846
collective_welfare,honesty,21,0.56467
collective_welfare,honesty,22,0.563267
collective_welfare,honesty,23,0.56623
collective_welfare,honesty,24,0.552739
collective_welfare,honesty,25,0.552726
collective_welfare,honesty,26,0.524725
collective_welfare,honesty,27,0.500832
collective_welfare,honesty,28,0.490615
collective_welfare,honesty,29,0.440126
collective_welfare,honesty,30,0.422964
collective_welfare,honesty,31,0.457147
collective_welfare,impartiality,0,0.929649
collective_welfare,impartiality,1,0.909506
collective_welfare,impartiality,2,0.869761
collective_welfare,impartiality,3,0.783529
collective_welfare,impartiality,4,0.615153
collective_welfare,impartiality,5,0.638751
collective_welfare,impartiality,6,0.622591
collective_welfare,impartiality,7,0.561611
collective_welfare,impartiality,8,0.559915
collective_welfare,impartiality,9,0.518535
collective_welfare,impartiality,10,0.473709
collective_welfare,impartiality,11,0.460926
collective_welfare,impartiality,12,0.42508
collective_welfare,impartiality,13,0.343128
collective_welfare,impartiality,14,0.305301
collective_welfare,impartiality,15,0.369457
collective_welfare,impartiality,16,0.431341
collective_welfare,impartiality,17,0.345929
collective_welfare,impartiality,18,0.30849
collective_welfare,impartiality,19,0.341874
collective_welfare,impartiality,20,0.33249
collective_welfare,impartiality,21,0.365228
collective_welfare,impartiality,22,0.361249
collective_welfare,impartiality,23,0.387105
collective_welfare,impartiality,24,0.376672
collective_welfare,impartiality,25,0.373287
collective_welfare,impartiality,26,0.351128
collective_welfare,impartiality,27,0.316724
collective_welfare,impartiality,28,0.296965
collective_welfare,impartiality,29,0.208103
collective_welfare,impartiality,30,0.239937
collective_welfare,impartiality,31,0.274868
collective_welfare,integrity,0,0.895259
collective_welfare,integrity,1,0.835602
collective_welfare,integrity,2,0.799993
collective_welfare,integrity,3,0.747326
collective_welfare,integrity,4,0.691928
collective_welfare,integrity,5,0.670825
collective_welfare,integrity,6,0.680076
collective_welfare,integrity,7,0.677528
collective_welfare,integrity,8,0.648921
collective_welfare,integrity,9,0.592096
collective_welfare,integrity,10,0.587471
collective_welfare,integrity,11,0.568209
collective_welfare,integrity,12,0.489645
collective_welfare,integrity,13,0.443004
collective_welfare,integrity,14,0.209021
collective_welfare,integrity,15,0.299081
collective_welfare,integrity,16,0.31072
collective_welfare,integrity,17,0.267556
collective_welfare,integrity,18,0.295668
collective_welfare,integrity,19,0.273173
collective_welfare,integrity,20,0.280045
collective_welfare,integrity,21,0.308402
collective_welfare,integrity,22,0.300793
collective_welfare,integrity,23,0.272585
collective_welfare,integrity,24,0.260612
collective_welfare,integrity,25,0.254782
collective_welfare,integrity,26,0.21633
collective_welfare,integrity,27,0.188404
collective_welfare,integrity,28,0.19271
collective_welfare,integrity,29,0.163535
collective_welfare,integrity,30,0.175719
collective_welfare,integrity,31,0.204315
collective_welfare,kindness,0,0.92358
collective_welfare,kindness,1,0.900879
collective_welfare,kindness,2,0.869749
collective_welfare,kindness,3,0.7976
collective_welfare,kindness,4,0.609569
collective_welfare,kindness,5,0.629241
collective_welfare,kindness,6,0.58703
collective_welfare,kindness,7,0.581232
collective_welfare,kindness,8,0.522487
collective_welfare,kindness,9,0.496067
collective_welfare,kindness,10,0.447956
collective_welfare,kindness,11,0.439107
collective_welfare,kindness,12,0.449504
collective_welfare,kindness,13,0.422275
collective_welfare,kindness,14,0.285427
collective_welfare,kindness,15,0.311929
collective_welfare,kindness,16,0.28686
collective_welfare,kindness,17,0.230972
collective_welfare,kindness,18,0.254396
collective_welfare,kindness,19,0.249416
collective_welfare,kindness,20,0.238004
collective_welfare,kindness,21,0.263498
collective_welfare,kindness,22,0.245607
collective_welfare,kindness,23,0.224299
collective_welfare,kindness,24,0.209247
collective_welfare,kindness,25,0.21536
collective_welfare,kindness,26,0.189341
collective_welfare,kindness,27,0.186186
collective_welfare,kindness,28,0.164245
collective_welfare,kindness,29,0.127141
collective_welfare,kindness,30,0.144551
collective_welfare,kindness,31,0.150089
collective_welfare,loyalty,0,0.919145
collective_welfare,loyalty,1,0.889588
collective_welfare,loyalty,2,0.843273
collective_welfare,loyalty,3,0.788678
collective_welfare,loyalty,4,0.695966
collective_welfare,loyalty,5,0.691262
collective_welfare,loyalty,6,0.644816
collective_welfare,loyalty,7,0.631742
collective_welfare,loyalty,8,0.58411
collective_welfare,loyalty,9,0.567004
collective_welfare,loyalty,10,0.501686
collective_welfare,loyalty,11,0.465395
collective_welfare,loyalty,12,0.365494
collective_welfare,loyalty,13,0.320589
collective_welfare,loyalty,14,0.219786
collective_welfare,loyalty,15,0.257154
collective_welfare,loyalty,16,0.303665
collective_welfare,loyalty,17,0.282427
collective_welfare,loyalty,18,0.31244
collective_welfare,loyalty,19,0.345916
collective_welfare,loyalty,20,0.352832
collective_welfare,loyalty,21,0.380776
collective_welfare,loyalty,22,0.37176
collective_welfare,loyalty,23,0.364287
collective_welfare,loyalty,24,0.346688
collective_welfare,loyalty,25,0.366261
collective_welfare,loyalty,26,0.345264
collective_welfare,loyalty,27,0.327053
collective_welfare,loyalty,28,0.299381
collective_welfare,loyalty,29,0.246724
collective_welfare,loyalty,30,0.244604
collective_welfare,loyalty,31,0.203055
collective_welfare,mercy,0,0.864272
collective_welfare,mercy,1,0.82356
collective_welfare,mercy,2,0.78746
collective_welfare,mercy,3,0.693298
collective_welfare,mercy,4,0.521795
collective_welfare,mercy,5,0.58426
collective_welfare,mercy,6,0.560307
collective_welfare,mercy,7,0.48853
collective_welfare,mercy,8,0.455006
collective_welfare,mercy,9,0.49134
collective_welfare,mercy,10,0.423149
collective_welfare,mercy,11,0.441288
collective_welfare,mercy,12,0.441974
collective_welfare,mercy,13,0.382002
collective_welfare,mercy,14,-0.043352
collective_welfare,mercy,15,0.142983
collective_welfare,mercy,16,0.146773
collective_welfare,mercy,17,0.054653
collective_welfare,mercy,18,-0.003865
collective_welfare,mercy,19,0.01645
collective_welfare,mercy,20,0.017559
collective_welfare,mercy,21,0.044871
collective_welfare,mercy,22,0.0202
collective_welfare,mercy,23,0.08098
collective_welfare,mercy,24,0.081994
collective_welfare,mercy,25,0.081049
collective_welfare,mercy,26,0.080565
collective_welfare,mercy,27,0.059454
collective_welfare,mercy,28,0.019237
collective_welfare,mercy,29,-0.055777
collective_welfare,mercy,30,0.014633
collective_welfare,mercy,31,0.140859
collective_welfare,privacy,0,0.934655
collective_welfare,privacy,1,0.906527
collective_welfare,privacy,2,0.871053
collective_welfare,privacy,3,0.829595
collective_welfare,privacy,4,0.755668
collective_welfare,privacy,5,0.744486
collective_welfare,privacy,6,0.728396
collective_welfare,privacy,7,0.702232
collective_welfare,privacy,8,0.681795
collective_welfare,privacy,9,0.629599
collective_welfare,privacy,10,0.563653
collective_welfare,privacy,11,0.536479
collective_welfare,privacy,12,0.50361
collective_welfare,privacy,13,0.498227
collective_welfare,privacy,14,0.315056
collective_welfare,privacy,15,0.421814
collective_welfare,privacy,16,0.47725
collective_welfare,privacy,17,0.37659
collective_welfare,privacy,18,0.367461
collective_welfare,privacy,19,0.391733
collective_welfare,privacy,20,0.373911
collective_welfare,privacy,21,0.387576
collective_welfare,privacy,22,0.374734
collective_welfare,privacy,23,0.39408
collective_welfare,privacy,24,0.36851
collective_welfare,privacy,25,0.359841
collective_welfare,privacy,26,0.339257
collective_welfare,privacy,27,0.283353
collective_welfare,privacy,28,0.257385
collective_welfare,privacy,29,0.151091
collective_welfare,privacy,30,0.194036
collective_welfare,privacy,31,0.313472
collective_welfare,sanctity,0,0.845354
collective_welfare,sanctity,1,0.849842
collective_welfare,sanctity,2,0.821431
collective_welfare,sanctity,3,0.823048
collective_welfare,sanctity,4,0.736486
collective_welfare,sanctity,5,0.734714
collective_welfare,sanctity,6,0.744355
collective_welfare,sanctity,7,0.737484
collective_welfare,sanctity,8,0.704913
collective_welfare,sanctity,9,0.66957
collective_welfare,sanctity,10,0.624104
collective_welfare,sanctity,11,0.618777
collective_welfare,sanctity,12,0.581383
collective_welfare,sanctity,13,0.548773
collective_welfare,sanctity,14,0.441063
collective_welfare,sanctity,15,0.462472
collective_welfare,sanctity,16,0.493433
collective_welfare,sanctity,17,0.483142
collective_welfare,sanctity,18,0.510697
collective_welfare,sanctity,19,0.555878
collective_welfare,sanctity,20,0.575662
collective_welfare,sanctity,21,0.584273
collective_welfare,sanctity,22,0.579379
collective_welfare,sanctity,23,0.570307
collective_welfare,sanctity,24,0.550041
collective_welfare,sanctity,25,0.553607
collective_welfare,sanctity,26,0.556503
collective_welfare,sanctity,27,0.523623
collective_welfare,sanctity,28,0.501393
collective_welfare,sanctity,29,0.440737
collective_welfare,sanctity,30,0.436358
collective_welfare,sanctity,31,0.458943
collective_welfare,tradition,0,0.940382
collective_welfare,tradition,1,0.918802
collective_welfare,tradition,2,0.90617
collective_welfare,tradition,3,0.877793
collective_welfare,tradition,4,0.782953
collective_welfare,tradition,5,0.772685
collective_welfare,tradition,6,0.773059
collective_welfare,tradition,7,0.76661
collective_welfare,tradition,8,0.742565
collective_welfare,tradition,9,0.713291
collective_welfare,tradition,10,0.680508
collective_welfare,tradition,11,0.672331
collective_welfare,tradition,12,0.574841
collective_welfare,tradition,13,0.5083
collective_welfare,tradition,14,0.501318
collective_welfare,tradition,15,0.48812
collective_welfare,tradition,16,0.560859
collective_welfare,tradition,17,0.603439
collective_welfare,tradition,18,0.6649
collective_welfare,tradition,19,0.674109
collective_welfare,tradition,20,0.696312
collective_welfare,tradition,21,0.692143
collective_welfare,tradition,22,0.692105
collective_welfare,tradition,23,0.689362
collective_welfare,tradition,24,0.652406
collective_welfare,tradition,25,0.669549
collective_welfare,tradition,26,0.682935
collective_welfare,tradition,27,0.676318
collective_welfare,tradition,28,0.671668
collective_welfare,tradition,29,0.67072
collective_welfare,tradition,30,0.667427
collective_welfare,tradition,31,0.606534
desert,fairness,0,0.934102
desert,fairness,1,0.914163
desert,fairness,2,0.908531
desert,fairness,3,0.841793
desert,fairness,4,0.782321
desert,fairness,5,0.774296
desert,fairness,6,0.781011
desert,fairness,7,0.765913
desert,fairness,8,0.712271
desert,fairness,9,0.663037
desert,fairness,10,0.615893
desert,fairness,11,0.605036
desert,fairness,12,0.552447
desert,fairness,13,0.544377
desert,fairness,14,0.484893
desert,fairness,15,0.482107
desert,fairness,16,0.507823
desert,fairness,17,0.52705
desert,fairness,18,0.550653
desert,fairness,19,0.560805
desert,fairness,20,0.559066
desert,fairness,21,0.552351
desert,fairness,22,0.53657
desert,fairness,23,0.5386
desert,fairness,24,0.528437
desert,fairness,25,0.538443
desert,fairness,26,0.538178
desert,fairness,27,0.525583
desert,fairness,28,0.521932
desert,fairness,29,0.499279
desert,fairness,30,0.499964
desert,fairness,31,0.499331
desert,harm_avoidance,0,0.910615
desert,harm_avoidance,1,0.883468
desert,harm_avoidance,2,0.887637
desert,harm_avoidance,3,0.842627
desert,harm_avoidance,4,0.814966
desert,harm_avoidance,5,0.803528
desert,harm_avoidance,6,0.771511
desert,harm_avoidance,7,0.765814
desert,harm_avoidance,8,0.74334
desert,harm_avoidance,9,0.703614
desert,harm_avoidance,10,0.662918
desert,harm_avoidance,11,0.627257
desert,harm_avoidance,12,0.498839
desert,harm_avoidance,13,0.474298
desert,harm_avoidance,14,0.452549
desert,harm_avoidance,15,0.519873
desert,harm_avoidance,16,0.556035
